ITEM		TC1	BIN	HEX
141	5936917	29	11101	1D
142	2878578	90	1011010	5A
143	158885	77	1001101	4D
144	2441957	41	101001	29
145	5914794	65	1000001	41
146	3999272	54	110110	36
147	3142897	88	1011000	58
148	8151159	49	110001	31
149	5147564	91	1011011	5B
150	4595374	55	110111	37
151	4234951	34	100010	22
152	7880605	45	101101	2D
153	7009921	61	111101	3D
154	695580	39	100111	27
155	7370443	60	111100	3C
156	7921729	76	1001100	4C
157	8419625	8	1000	8
158	7024080	21	10101	15
159	3905988	4	100	4
160	1767599	91	1011011	5B
161	935136	82	1010010	52
162	635788	23	10111	17
163	8807719	10	1010	A
164	317375	15	1111	F
165	9975410	86	1010110	56
166	2727968	17	10001	11
167	7444399	83	1010011	53
168	4065675	84	1010100	54
169	9925720	99	1100011	63
170	2293633	85	1010101	55
171	7734826	62	111110	3E
172	1065463	68	1000100	44
173	1105617	6	110	6
174	5325800	96	1100000	60
175	3822527	5	101	5
176	5503858	84	1010100	54
177	9214055	5	101	5
178	6521769	5	101	5
179	7923796	33	100001	21
180	5250236	40	101000	28
181	1083154	42	101010	2A
182	472141	6	110	6
183	9597454	14	1110	E
184	1581679	1	1	1
185	656751	69	1000101	45
186	345464	29	11101	1D
187	4281218	43	101011	2B
188	6558883	58	111010	3A
189	3852986	12	1100	C
190	6263187	0	0	0
191	5828308	49	110001	31
192	8058535	16	10000	10
193	9035191	37	100101	25
194	7922103	49	110001	31
195	9366003	52	110100	34
196	4555717	62	111110	3E
197	3526753	50	110010	32
198	3176815	53	110101	35
199	858440	92	1011100	5C
200	2250854	39	100111	27




ITEM	TC2	BIN	HEX
1	7116776	11011001001011111101000	6C97E8
2	1666340	110010110110100100100	196D24
3	8886983	100001111001101011000111	879AC7
4	839365	11001100111011000101	CCEC5
5	924280	11100001101001111000	E1A78
6	1026310	11111010100100000110	FA906
7	1615293	110001010010110111101	18A5BD
8	1063875	100000011101111000011	103BC3
9	679035	10100101110001111011	A5C7B
10	5201970	10011110110000000110010	4F6032
11	593979	10010001000000111011	9103B
12	801371	11000011101001011011	C3A5B
13	3796878	1110011110111110001110	39EF8E
14	7489201	11100100100011010110001	7246B1
15	9740020	100101001001111011110100	949EF4
16	9128737	100010110100101100100001	8B4B21
17	5473463	10100111000010010110111	5384B7
18	8701957	100001001100100000000101	84C805
19	8238050	11111011011001111100010	7DB3E2
20	8679038	100001000110111001111110	846E7E
21	385912	1011110001101111000	5E378
22	5867340	10110011000011101001100	59874C
23	4894542	10010101010111101001110	4AAF4E
24	8999451	100010010101001000011011	89521B
25	4392535	10000110000011001010111	430657
26	2078131	111111011010110110011	1FB5B3
27	3070124	1011101101100010101100	2ED8AC
28	7451998	11100011011010101011110	71B55E
29	5635510	10101011111110110110110	55FDB6
30	1233932	100101101010000001100	12D40C
31	6089867	10111001110110010001011	5CEC8B
32	1792316	110110101100100111100	1B593C
33	6298637	11000000001110000001101	601C0D
34	2408038	1001001011111001100110	24BE66
35	8510100	100000011101101010010100	81DA94
36	991581	11110010000101011101	F215D
37	6455739	11000101000000110111011	6281BB
38	7829175	11101110111011010110111	7776B7
39	6328931	11000001001001001100011	609263
40	9982305	100110000101000101100001	985161
41	2292022	1000101111100100110110	22F936
42	1070496	100000101010110100000	1055A0
43	8518360	100000011111101011011000	81FAD8
44	6378470	11000010101001111100110	6153E6
45	7756258	11101100101100111100010	7659E2
46	7111767	11011001000010001010111	6C8457
47	2685897	1010001111101111001001	28FBC9
48	617946	10010110110111011010	96DDA
49	246280	111100001000001000	3C208
50	6075442	10111001011010000110010	5CB432
51	991323	11110010000001011011	F205B
52	6754202	11001110000111110011010	670F9A
53	3103178	1011110101100111001010	2F59CA
54	3228842	1100010100010010101010	3144AA
55	6786623	11001111000111000111111	678E3F
56	5329085	10100010101000010111101	5150BD
57	2334647	1000111001111110110111	239FB7
58	7253396	11011101010110110010100	6EAD94
59	6516953	11000110111000011011001	6370D9
60	5972725	10110110010001011110101	5B22F5
61	5828037	10110001110110111000101	58EDC5
62	6642265	11001010101101001011001	655A59
63	2559699	1001110000111011010011	270ED3
64	6597631	11001001010101111111111	64ABFF
65	5826202	10110001110011010011010	58E69A
66	4642335	10001101101011000011111	46D61F
67	1862900	111000110110011110100	1C6CF4
68	6039635	10111000010100001010011	5C2853
69	3358744	1100110100000000011000	334018
70	4965249	10010111100001110000001	4BC381
71	6621475	11001010000100100100011	650923
72	3336153	1100101110011111011001	32E7D9
73	1044743	11111111000100000111	FF107
74	6201477	10111101010000010000101	5EA085
75	6297100	11000000001011000001100	60160C
76	885678	11011000001110101110	D83AE
77	8546891	100000100110101001001011	826A4B
78	6683923	11001011111110100010011	65FD13
79	7064472	11010111100101110011000	6BCB98
80	3430021	1101000101011010000101	345685
81	9764122	100101001111110100011010	94FD1A
82	9958605	100101111111010011001101	97F4CD
83	1006022	11110101100111000110	F59C6
84	5276496	10100001000001101010000	508350
85	8876232	100001110111000011001000	8770C8
86	3364648	1100110101011100101000	335728
87	3539979	1101100000010000001011	36040B
88	3003857	1011011101010111010001	2DD5D1
89	4481634	10001000110001001100010	446262
90	9035781	100010011110000000000101	89E005
91	3767021	1110010111101011101101	397AED
92	4993901	10011000011001101101101	4C336D
93	8698377	100001001011101000001001	84BA09
94	4626501	10001101001100001000101	469845
95	1755352	110101100100011011000	1AC8D8
96	2755340	1010100000101100001100	2A0B0C
97	5150616	10011101001011110011000	4E9798
98	9345169	100011101001100010010001	8E9891
99	848948	11001111010000110100	CF434
100	2708748	1010010101010100001100	29550C
101	8372451	11111111100000011100011	7FC0E3
102	3523015	1101011100000111000111	35C1C7
103	2624283	1010000000101100011011	280B1B
104	8795348	100001100011010011010100	8634D4
105	2318100	1000110101111100010100	235F14
106	4750861	10010000111111000001101	487E0D
107	3770597	1110011000100011100101	3988E5
108	1053352	100000001001010101000	1012A8
109	833307	11001011011100011011	CB71B
110	4632526	10001101010111111001110	46AFCE
111	2212917	1000011100010000110101	21C435
112	5053189	10011010001101100000101	4D1B05
113	412218	1100100101000111010	64A3A
114	4901564	10010101100101010111100	4ACABC
115	5094606	10011011011110011001110	4DBCCE
116	8070285	11110110010010010001101	7B248D
117	6847905	11010000111110110100001	687DA1
118	4311824	10000011100101100010000	41CB10
119	3009421	1011011110101110001101	2DEB8D
120	1629105	110001101101110110001	18DBB1
121	8431899	100000001010100100011011	80A91B
122	7582456	11100111011001011111000	73B2F8
123	7332147	11011111110000100110011	6FE133
124	314183	1001100101101000111	4CB47
125	7632568	11101000111011010111000	7476B8
126	8161327	11111001000100000101111	7C882F
127	6961087	11010100011011110111111	6A37BF
128	6898282	11010010100001001101010	69426A
129	9749303	100101001100001100110111	94C337
130	4427419	10000111000111010011011	438E9B
131	4368829	10000101010100110111101	42A9BD
132	6439318	11000100100000110010110	624196
133	6473603	11000101100011110000011	62C783
134	6446249	11000100101110010101001	625CA9
135	9818836	100101011101001011010100	95D2D4
136	9438069	100100000000001101110101	900375
137	2809499	1010101101111010011011	2ADE9B
138	3460304	1101001100110011010000	34CCD0
139	8430904	100000001010010100111000	80A538
140	9774785	100101010010011011000001	9526C1
141	9560603	100100011110001000011011	91E21B
142	3440732	1101001000000001011100	34805C
143	7053263	11010111001111111001111	6B9FCF
144	287398	1000110001010100110	462A6
145	4043644	1111011011001101111100	3DB37C
146	2943820	1011001110101101001100	2CEB4C
147	9030962	100010011100110100110010	89CD32
148	7537540	11100110000001110000100	730384
149	7203657	11011011110101101001001	6DEB49
150	5639400	10101100000110011101000	560CE8
151	9448142	100100000010101011001110	902ACE
152	9954392	100101111110010001011000	97E458
153	2856859	1010111001011110011011	2B979B
154	1332118	101000101001110010110	145396
155	6984725	11010101001010000010101	6A9415
156	1925762	111010110001010000010	1D6282
157	2138171	1000001010000000111011	20A03B
158	347447	1010100110100110111	54D37
159	8839390	100001101110000011011110	86E0DE
160	3951652	1111000100110000100100	3C4C24
161	3755102	1110010100110001011110	394C5E
162	6867687	11010001100101011100111	68CAE7
163	4383175	10000101110000111000111	42E1C7
164	7125508	11011001011101000000100	6CBA04
165	7799732	11101110000001110110100	7703B4
166	8784156	100001100000100100011100	86091C
167	1372809	101001111001010001001	14F289
168	1327984	101000100001101110000	144370
169	9205087	100011000111010101011111	8C755F
170	6524241	11000111000110101010001	638D51
171	9316072	100011100010011011101000	8E26E8
172	127744	11111001100000000	1F300
173	8388820	100000000000000011010100	8000D4
174	6883557	11010010000100011100101	6908E5
175	2291239	1000101111011000100111	22F627
176	3101270	1011110101001001010110	2F5256
177	1382825	101010001100110101001	1519A9
178	9873376	100101101010011111100000	96A7E0
179	6873500	11010001110000110011100	68E19C
180	8185634	11111001110011100100010	7CE722
181	2464786	1001011001110000010010	259C12
182	8387154	11111111111101001010010	7FFA52
183	5581444	10101010010101010000100	552A84
184	8097911	11110111001000001110111	7B9077
185	8882527	100001111000100101011111	87895F
186	8941444	100010000110111110000100	886F84
187	4942703	10010110110101101101111	4B6B6F
188	101144	11000101100011000	18B18
189	7471180	11100100000000001001100	72004C
190	1932131	111010111101101100011	1D7B63
191	8052752	11110101110000000010000	7AE010
192	6359493	11000010000100111000101	6109C5
193	1967646	111100000011000011110	1E061E
194	6575052	11001000101001111001100	6453CC
195	2323342	1000110111001110001110	23738E
196	6735760	11001101100011110010000	66C790
197	8895858	100001111011110101110010	87BD72
198	4238091	10000001010101100001011	40AB0B
199	7093069	11011000011101101001101	6C3B4D
200	39	100111	27



ITEM	TC3	BIN	HEX
1	-39	1111011001	FFFFFFFFD9
2	-36	1111011100	FFFFFFFFDC
3	8	1000	8
4	34	100010	22
5	17	10001	11
6	49	110001	31
7	5	101	5
8	39	100111	27
9	0	0	0
10	33	100001	21
11	12	1100	C
12	-6	1111111010	FFFFFFFFFA
13	27	11011	1B
14	-4	1111111100	FFFFFFFFFC
15	-38	1111011010	FFFFFFFFDA
16	26	11010	1A
17	49	110001	31
18	29	11101	1D
19	42	101010	2A
20	-16	1111110000	FFFFFFFFF0
21	-28	1111100100	FFFFFFFFE4
22	34	100010	22
23	20	10100	14
24	0	0	0
25	25	11001	19
26	45	101101	2D
27	3	11	3
28	-46	1111010010	FFFFFFFFD2
29	-46	1111010010	FFFFFFFFD2
30	29	11101	1D
31	33	100001	21
32	29	11101	1D
33	26	11010	1A
34	-5	1111111011	FFFFFFFFFB
35	-36	1111011100	FFFFFFFFDC
36	12	1100	C
37	45	101101	2D
38	-50	1111001110	FFFFFFFFCE
39	0	0	0
40	-6	1111111010	FFFFFFFFFA
41	-39	1111011001	FFFFFFFFD9
42	35	100011	23
43	26	11010	1A
44	-35	1111011101	FFFFFFFFDD
45	-42	1111010110	FFFFFFFFD6
46	14	1110	E
47	-3	1111111101	FFFFFFFFFD
48	22	10110	16
49	-47	1111010001	FFFFFFFFD1
50	12	1100	C
51	-17	1111101111	FFFFFFFFEF
52	-31	1111100001	FFFFFFFFE1
53	-25	1111100111	FFFFFFFFE7
54	-35	1111011101	FFFFFFFFDD
55	-18	1111101110	FFFFFFFFEE
56	14	1110	E
57	37	100101	25
58	-8	1111111000	FFFFFFFFF8
59	-41	1111010111	FFFFFFFFD7
60	-50	1111001110	FFFFFFFFCE
61	-9	1111110111	FFFFFFFFF7
62	2	10	2
63	12	1100	C
64	-39	1111011001	FFFFFFFFD9
65	-17	1111101111	FFFFFFFFEF
66	0	0	0
67	27	11011	1B
68	28	11100	1C
69	45	101101	2D
70	-44	1111010100	FFFFFFFFD4
71	28	11100	1C
72	35	100011	23
73	-33	1111011111	FFFFFFFFDF
74	43	101011	2B
75	-4	1111111100	FFFFFFFFFC
76	23	10111	17
77	-49	1111001111	FFFFFFFFCF
78	49	110001	31
79	-7	1111111001	FFFFFFFFF9
80	-38	1111011010	FFFFFFFFDA
81	-45	1111010011	FFFFFFFFD3
82	5	101	5
83	-21	1111101011	FFFFFFFFEB
84	26	11010	1A
85	-2	1111111110	FFFFFFFFFE
86	-24	1111101000	FFFFFFFFE8
87	6	110	6
88	-45	1111010011	FFFFFFFFD3
89	-4	1111111100	FFFFFFFFFC
90	15	1111	F
91	0	0	0
92	-17	1111101111	FFFFFFFFEF
93	-35	1111011101	FFFFFFFFDD
94	43	101011	2B
95	45	101101	2D
96	-35	1111011101	FFFFFFFFDD
97	-8	1111111000	FFFFFFFFF8
98	28	11100	1C
99	47	101111	2F
100	34	100010	22
101	-24	1111101000	FFFFFFFFE8
102	-42	1111010110	FFFFFFFFD6
103	-13	1111110011	FFFFFFFFF3
104	14	1110	E
105	-45	1111010011	FFFFFFFFD3
106	-35	1111011101	FFFFFFFFDD
107	27	11011	1B
108	-12	1111110100	FFFFFFFFF4
109	-19	1111101101	FFFFFFFFED
110	-20	1111101100	FFFFFFFFEC
111	-14	1111110010	FFFFFFFFF2
112	20	10100	14
113	30	11110	1E
114	12	1100	C
115	-36	1111011100	FFFFFFFFDC
116	-47	1111010001	FFFFFFFFD1
117	-27	1111100101	FFFFFFFFE5
118	-3	1111111101	FFFFFFFFFD
119	6	110	6
120	36	100100	24
121	9	1001	9
122	-16	1111110000	FFFFFFFFF0
123	36	100100	24
124	-27	1111100101	FFFFFFFFE5
125	7	111	7
126	-6	1111111010	FFFFFFFFFA
127	-5	1111111011	FFFFFFFFFB
128	5	101	5
129	47	101111	2F
130	23	10111	17
131	-48	1111010000	FFFFFFFFD0
132	-24	1111101000	FFFFFFFFE8
133	40	101000	28
134	-4	1111111100	FFFFFFFFFC
135	-18	1111101110	FFFFFFFFEE
136	-19	1111101101	FFFFFFFFED
137	14	1110	E
138	15	1111	F
139	1	1	1
140	24	11000	18
141	-9	1111110111	FFFFFFFFF7
142	-50	1111001110	FFFFFFFFCE
143	18	10010	12
144	15	1111	F
145	30	11110	1E
146	44	101100	2C
147	9	1001	9
148	19	10011	13
149	33	100001	21
150	41	101001	29
151	-24	1111101000	FFFFFFFFE8
152	43	101011	2B
153	48	110000	30
154	-23	1111101001	FFFFFFFFE9
155	7	111	7
156	28	11100	1C
157	8	1000	8
158	-2	1111111110	FFFFFFFFFE
159	37	100101	25
160	42	101010	2A
161	-17	1111101111	FFFFFFFFEF
162	-6	1111111010	FFFFFFFFFA
163	36	100100	24
164	22	10110	16
165	27	11011	1B
166	31	11111	1F
167	-47	1111010001	FFFFFFFFD1
168	-43	1111010101	FFFFFFFFD5
169	0	0	0
170	27	11011	1B
171	30	11110	1E
172	12	1100	C
173	-15	1111110001	FFFFFFFFF1
174	-19	1111101101	FFFFFFFFED
175	-42	1111010110	FFFFFFFFD6
176	-37	1111011011	FFFFFFFFDB
177	31	11111	1F
178	-10	1111110110	FFFFFFFFF6
179	18	10010	12
180	33	100001	21
181	-15	1111110001	FFFFFFFFF1
182	17	10001	11
183	25	11001	19
184	-25	1111100111	FFFFFFFFE7
185	-5	1111111011	FFFFFFFFFB
186	33	100001	21
187	-13	1111110011	FFFFFFFFF3
188	33	100001	21
189	-10	1111110110	FFFFFFFFF6
190	47	101111	2F
191	47	101111	2F
192	-13	1111110011	FFFFFFFFF3
193	-32	1111100000	FFFFFFFFE0
194	1	1	1
195	1	1	1
196	-25	1111100111	FFFFFFFFE7
197	-33	1111011111	FFFFFFFFDF
198	16	10000	10
199	17	10001	11
200	4	100	4




ITEM	TC4	BIN	HEX
1	-39	1111011001	FFFFFFFFD9
2	-36	1111011100	FFFFFFFFDC
3	8	1000	8
4	34	100010	22
5	17	10001	11
6	49	110001	31
7	5	101	5
8	ABC	#VALUE!	#VALUE!
9	0	0	0
10	33	100001	21
11	12	1100	C
12	-6	1111111010	FFFFFFFFFA
13	27	11011	1B
14	-4	1111111100	FFFFFFFFFC
15	-38	1111011010	FFFFFFFFDA
16	26	11010	1A
17	49	110001	31
18	29	11101	1D
19	42	101010	2A
20	-16	1111110000	FFFFFFFFF0
21	ERR	#VALUE!	#VALUE!
22	34	100010	22
23	20	10100	14
24	0	0	0
25	25	11001	19
26	45	101101	2D
27	3	11	3
28	-46	1111010010	FFFFFFFFD2
29	-46	1111010010	FFFFFFFFD2
30	29	11101	1D
31	33	100001	21
32	29	11101	1D
33	26	11010	1A
34	-5	1111111011	FFFFFFFFFB
35	-36	1111011100	FFFFFFFFDC
36	12	1100	C
37	45	101101	2D
38	-50	1111001110	FFFFFFFFCE
39	0	0	0
40	-6	1111111010	FFFFFFFFFA
41	VAL	#VALUE!	#VALUE!
